term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,header
(A) Country: Germany,0.06956450667416,0.02302356590254604,3.021447979370879,0.024438317505169768,0.11469069584315024,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.05952803946485181,0.01893081693254707,3.1445045228083846,0.02242363827705955,0.09663244065264406,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.19652405696966646,0.019365289108333017,10.148263517795911,0.15856809031733377,0.23448002362199916,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.03682821038237671,0.021451759894312403,1.716792028431249,-0.005217239010475605,0.07887365977522902,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.16909115703787958,0.019988677949097353,8.459346709596439,0.12991334825764878,0.20826896581811039,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.07358368589890381,0.02338541177357943,3.1465636188642105,0.02774827882268812,0.11941909297511949,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.0685492608366608,0.019202322028475056,3.569842268815685,0.030912709660849684,0.1061858120124719,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.19895033518041877,0.019637217952726237,10.131289251836128,0.16046138799307536,0.23743928236776218,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.0381625170012996,0.021709768398133232,1.7578500286802274,-0.004388629059041534,0.08071366306164074,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.17206927109595951,0.020281676358073625,8.483976770858147,0.1323171854341352,0.21182135675778382,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.06373781219787086,0.02412956862397133,2.641481627423336,0.016443857694887057,0.11103176670085467,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.07068180877412973,0.019802714619196075,3.569298963972,0.031868488120505425,0.10949512942775404,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.20669318969297218,0.02023018657006119,10.217067893919427,0.16704202401565224,0.24634435537029212,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.032955777865109566,0.02230977242513965,1.477190230231731,-0.010771376088164149,0.07668293181838329,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.16637408783255628,0.020905124737233632,7.95853121776553,0.12540004334757837,0.20734813231753418,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.06542760841101,0.025584498340698706,2.5573144933207703,0.01528199166324054,0.11557322515877946,non_political,60,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.05866977431221597,0.02088113865269117,2.809701869617852,0.017742742552941282,0.09959680607149066,non_political,60,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.21522442550963705,0.021355240594051406,10.078295515415018,0.1733681539452963,0.2570806970739778,non_political,60,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.02954168124239544,0.023460696988077623,1.2591987892520022,-0.0164412848542367,0.07552464733902758,non_political,60,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.16222548744256687,0.022016259333555284,7.368440068986505,0.11907361914879852,0.20537735573633523,non_political,60,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.0641245695933377,0.02866202822342432,2.237265593819047,0.007946994275426042,0.12030214491124937,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.038269186666472825,0.02346134201971943,1.6311593187767048,-0.007715043692177258,0.0842534170251229,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.22010389859147048,0.02390535292999253,9.20730596348235,0.17324940684868512,0.26695839033425584,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.0168369590529977,0.026129541769785537,0.6443648802317244,-0.03437694281578195,0.06805086092177735,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.17923938521308594,0.02469871011624712,7.257034248731072,0.13082991338524158,0.2276488570409303,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.07434242049896324,0.03734743101003948,1.9905631656158365,0.0011414557192858665,0.1475433852786406,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.17074721898215203,0.030490252057839517,5.600059279872378,0.11098632494878657,0.2305081130155175,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.273930082079566,0.02947633097587094,9.293221815964907,0.21615647336685895,0.331703690792273,political,3,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.08748413470312599,0.0339049785647268,2.580274001238877,0.021030376716261456,0.15393789268999053,political,3,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.3001160521951701,0.03205184961990687,9.363455019106699,0.23729442694015268,0.36293767745018757,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.08569918599402276,0.03842550157730851,2.2302685059713285,0.010385202902498086,0.16101316908554744,political,10,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.17396669343971152,0.031423896932812556,5.536127292285542,0.11237585545139891,0.23555753142802413,political,10,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.26846260403505784,0.0301798521574457,8.895424756705616,0.20931009380646426,0.3276151142636514,political,10,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.08487219387188465,0.034671660611602505,2.4478837290961213,0.01691573907314374,0.15282864867062557,political,10,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.3328384587458433,0.03287792760596653,10.123462242962095,0.2683977206381489,0.3972791968535377,political,10,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.06802128217052682,0.04156707046163368,1.6364223269790041,-0.013450175934275194,0.14949274027532883,political,30,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.19673476874008697,0.03437699896717196,5.722860477959617,0.12935585076442993,0.264113686715744,political,30,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.2880022888145895,0.0328513755542054,8.766825862112842,0.2236135927283469,0.3523909849008321,political,30,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.10204985083090093,0.037510385750759316,2.7205758828762554,0.028529494759412674,0.17557020690238917,political,30,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.37338833321068665,0.035668746406761646,10.468221365354859,0.3034775902534338,0.4432990761679395,political,30,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.08123827041615997,0.045235006693119265,1.795915958790323,-0.007422342702353785,0.16989888353467372,political,60,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.20206890567263391,0.038478138060602185,5.251525044023181,0.12665175507385362,0.2774860562714142,political,60,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.2892905254055987,0.0363184545300421,7.965386444687556,0.21810635452671617,0.3604746962844812,political,60,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.09315430505133465,0.04119472868721034,2.261316144564295,0.012412636824402398,0.1738959732782669,political,60,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.4045907185743033,0.03935575864529791,10.280343525346892,0.3274534316295194,0.4817280055190872,political,60,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.08487700021397952,0.05495544941096862,1.54446922231954,-0.02283568063151896,0.192589681059478,political,120,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.15843761383264932,0.04845875880099549,3.2695351212626296,0.06345844658269816,0.25341678108260046,political,120,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.2608948070624834,0.04448756720797477,5.8644431115513065,0.17369917533485285,0.348090438790114,political,120,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.07302335272653032,0.049970780482125596,1.4613210364535043,-0.024919377018435843,0.17096608247149647,political,120,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.42382147962689715,0.0485326791993603,8.732703131552718,0.32869742839615096,0.5189455308576434,political,120,"(A) Country 
 (Reference: France)"
(B) Access: Facebook,0.008913388692024508,0.007086796039781149,1.2577459040714494,-0.004976731545946543,0.02280350892999556,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Portal,-0.11005617158903148,0.003549197433368935,-31.008748781992956,-0.1170125985584346,-0.10309974461962837,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Search,0.05380092814678315,0.004902872065244982,10.973349381918837,0.04419129889890299,0.06341055739466332,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Twitter,-0.09504265011626234,0.021430986761224093,-4.434823798604862,-0.13704738416826157,-0.05303791606426312,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Facebook,-0.014540882713491432,0.00803250618928616,-1.8102547786251584,-0.030284594844492307,0.001202829417509441,non_political,10,"(B) Access 
 (Reference: Direct)"
