term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,header
(A) Country: Germany,0.0696262071267419,0.023008476217079247,3.0261111804986984,0.024529593741266578,0.11472282051221723,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.0610043621571408,0.018948709309222586,3.2194468320567444,0.02386489191106453,0.09814383240321707,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.19827679754746622,0.01933381257627192,10.255442208579604,0.16038252489797325,0.23617107019695918,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.039566752450558906,0.021466250456571995,1.8432074353462766,-0.0025070984443222033,0.08164060334544002,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.1717269048733157,0.02000294250766525,8.585082160162631,0.1325211375582918,0.2109326721883396,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.06321910032191783,0.028692550179780108,2.2033280390137255,0.006981701969548816,0.11945649867428684,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.040284057921842586,0.023521805780832208,1.7126260754465479,-0.005818681408588537,0.08638679725227372,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.21931124393959636,0.023889752160377795,9.180138934355867,0.17248732970525588,0.26613515817393685,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.019891202353726125,0.026185470570126455,0.7596274544868745,-0.03143231996372173,0.07121472467117397,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.18218684628145668,0.02475410557290197,7.359863831270659,0.13366879935856882,0.23070489320434454,non_political,120,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.07213436094387558,0.03728240459148974,1.934809777809807,-9.391520554443006e-4,0.14520787394319545,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.1720029949059571,0.030495213016471952,5.640327706943706,0.11223237739367209,0.23177361241824213,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.2746413220347792,0.029385878522669263,9.346030673301517,0.21704500013034744,0.33223764393921096,political,3,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.09142955663922853,0.0338648519070276,2.6998363049169325,0.025054446901454433,0.15780466637700263,political,3,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.3026408412336231,0.03204677661847458,9.443721745766915,0.23982915906141294,0.3654525234058333,political,3,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.0778199593572641,0.05497913459675052,1.415445330815803,-0.029939144452366923,0.18557906316689513,political,120,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.15904936221072585,0.04859642394856711,3.2728614430366023,0.06380037127153432,0.2542983531499174,political,120,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.26773415842467835,0.044370649543719894,6.034037391336155,0.18076768531898735,0.35470063153036935,political,120,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.08017900042489969,0.05000902846200848,1.6032905035499967,-0.017838695360636925,0.1781966962104363,political,120,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.4268204326621551,0.04861157984646765,8.780221379560244,0.33154173616307847,0.5220991291612317,political,120,"(A) Country 
 (Reference: France)"
