term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,header
(A) Country: Germany,0.06978457909078392,0.02460794401813397,2.8358557317652626,0.021553008815241345,0.1180161493663265,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.057575294158599785,0.01980015381883911,2.90782054954639,0.018766992673675133,0.09638359564352444,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.18622393455645322,0.02056522785803361,9.055281849634678,0.14591608795470734,0.2265317811581991,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.03346541219867336,0.0225001495353689,1.4873417683765933,-0.010634880890649678,0.0775657052879964,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.1691982212878578,0.020878517940248205,8.103938305012006,0.1282763261249713,0.2101201164507443,non_political,3,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.06916988736946779,0.024711586011136003,2.799087332488378,0.020735178787641223,0.11760459595129436,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.06507701849571483,0.019867645033193604,3.275527541738755,0.02613643423065537,0.10401760276077429,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.18537834258664504,0.020631980702694938,8.984999804814233,0.14493966040936296,0.22581702476392712,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: United Kingdom,0.03257838921183896,0.022538679617731375,1.4454435558953178,-0.011597422838914531,0.07675420126259246,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: USA,0.17060994213847974,0.02095635786907289,8.141201978148294,0.12953548071509688,0.2116844035618626,non_political,10,"(A) Country 
 (Reference: France)"
(A) Country: Germany,0.0626943479651352,0.025386573250918584,2.4695868696208017,0.012936664393334782,0.11245203153693563,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: Italy,0.0656063388371118,0.02041889313696664,3.2130213130082548,0.025585308288657183,0.10562736938556641,non_political,30,"(A) Country 
 (Reference: France)"
(A) Country: Spain,0.19197287923532458,0.02118273129370578,9.06270662520122,0.15045472589966125,0.2334910325709879,non_political,30,"(A) Country 
 (Reference: France)"
